Šifra stranke,Naziv,E-pošta,Tel. številko,Uporabniki,Skupina (Magento),Cenik,Plačnik,Popust polno pakiranje,Vrednostni rabat,Rabat prag 1,Rabat % 1,Rabat prag 2,Rabat % 2,Rabat prag 3,Rabat % 3,B2B+,Skupine popustov,Popust NW
0000834,HENSEL HUNGARIA VILLAMOSSÁGI KORLÁTOLT FELELŐSSÉGŰ TÁRSASÁG,,,,,B2C,,0,0,800,1,1500,2,3000,3,0,,
0000839,HOFER trgovina d.o.o.,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0000846,IBUS d.o.o.,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0000847,IBUS d.o.o.,,,,,B2B,0000717|,0,0,800,1,1500,2,3000,3,0,,
0000862,ITECH IMAO d.o.o.,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0000865,"INEL, društvo s ograničenom odgovornosti za trgovinu,",,,,,B2C,,0,0,800,1,1500,2,3000,3,0,,
0000870,"INPOS, d.o.o., Celje",,,,,B2B,0001053|,0,0,800,1,1500,2,3000,3,0,,
0000871,INPROM d.o.o.,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0000873,INT d.o.o.,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0000874,INTEREUROPA d.d.,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0000879,IQL d.o.o.,,,,,IQ,,0,0,800,1,1500,2,3000,3,0,,
0000885,iSmart d.o.o.,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0000886,IST d.o.o.,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0000888,ITI ELEKT d.o.o.,,,,,B2B,0001053|,0,0,800,1,1500,2,3000,3,0,,
0000890,IVAN BLATNIK S.P.,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0000896,"JAKA & I, d.o.o.",,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0000897,"JAKA & I, PE Žalec",,,,,B2C,0000896|,0,0,800,1,1500,2,3000,3,0,,
0000907,JANEZ GRAJFONER S.P.,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0000925,GRAMAX d.o.o.,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0000956,Karizma Luce B.V.,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0000961,KID d.o.o.,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0000964,KLEMEN TRADE d.o.o.,,,,,B2B,0001053|,0,0,800,1,1500,2,3000,3,0,,
0000968,KLOBUČAR d.o.o.,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0000973,KOMO d.o.o.,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0000975,KOMUNALA TREBNJE d.o.o.,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0000987,KOVINOPRODAJA Trebnje d.o.o.,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0000988,KOVINOPRODAJA PE Slovenska vas,,,,,B2B,0000987|,0,0,800,1,1500,2,3000,3,0,,
0000999,"KURIVO, PE ŠEMPETER",,,,,B2C,0001537|,0,0,800,1,1500,2,3000,3,0,,
0001003,KZ TREBNJE z.o.o.,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0001004,"LAGEA, d.o.o.",,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0001010,LES-MMS d.o.o.,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0001051,MAPLAST d.o.o. Domžale,,,,,B2B,0000717|,0,0,800,1,1500,2,3000,3,0,,
0001053,MARCHIOL d.o.o.,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0001054,"MARCHIOL d.o.o., PE MARIBOR",,,,,B2B,0001053|,0,0,800,1,1500,2,3000,3,0,,
0001055,"MARCHIOL d.o.o., PE LJUBLJANA",,,,,B2C,0001053|,0,0,800,1,1500,2,3000,3,0,,
0001078,MARUMI GROUP INTERNATIONAL d.o.o. - v stečaju,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0001110,"MBC, d.o.o.",,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
